"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Press_Pass","Sw_Pass","Crs_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Ground_Height","Low_Height","High_Height","Left_Body","Right_Body","Head_Body","TI_Body","Other_Body","Cmp_Outcomes","Off_Outcomes","Out_Outcomes","Int_Outcomes","Blocks_Outcomes","Url","TI_Pass"
"91",2018,"Arsenal","Premier League","Calum Chambers","ENG","DF","22",1995,9.6,623,590,33,12,1,51,20,3,0,0,0,0,452,73,98,55,497,28,21,1,526,2,15,19,4,"https://fbref.com/en/players/dc6f5bdd/Calum-Chambers",NA
"92",2018,"Arsenal","Premier League","Francis Coquelin","FRA","MF,DF","26",1991,1.9,99,98,1,1,0,24,3,0,0,0,0,0,73,18,8,4,85,6,0,1,85,0,2,4,1,"https://fbref.com/en/players/a6951bf8/Francis-Coquelin",NA
"93",2018,"Arsenal","Premier League","Mohamed Elneny","EGY","MF","25",1992,9.6,835,823,12,6,1,107,16,3,2,1,0,1,688,85,62,57,749,17,4,1,773,2,6,8,6,"https://fbref.com/en/players/47a34c4f/Mohamed-Elneny",NA
"94",2018,"Arsenal","Premier League","Olivier Giroud","FRA","FW","30",1986,4.3,132,127,5,0,1,46,1,4,0,0,0,0,63,43,26,74,24,12,0,6,95,1,1,3,3,"https://fbref.com/en/players/16ceb862/Olivier-Giroud",NA
"95",2018,"Arsenal","Premier League","Rob Holding","ENG","DF","21",1995,9.1,600,582,18,10,0,55,27,0,0,0,0,0,458,66,76,107,441,30,8,1,522,2,11,12,6,"https://fbref.com/en/players/d79a8c87/Rob-Holding",NA
"96",2018,"Arsenal","Premier League","Alex Iwobi","NGA","FW,MF","21",1996,20.3,1161,1150,11,3,4,179,16,29,1,0,1,0,965,117,79,130,1013,6,6,2,1000,3,13,38,27,"https://fbref.com/en/players/6ca5ec4b/Alex-Iwobi",NA
"97",2018,"Arsenal","Premier League","Sead Kolašinac","BIH","DF","24",1993,23.9,1508,1292,216,14,3,155,19,37,0,0,0,0,960,317,231,1092,121,57,202,4,1217,1,27,54,44,"https://fbref.com/en/players/3935e52e/Sead-Kolasinac",NA
"98",2018,"Arsenal","Premier League","Laurent Koscielny","FRA","DF","31",1985,24.7,1711,1667,44,32,0,163,80,6,0,0,0,0,1280,236,195,151,1422,79,12,17,1538,6,23,36,16,"https://fbref.com/en/players/f5efb153/Laurent-Koscielny",NA
"99",2018,"Arsenal","Premier League","Alexandre Lacazette","FRA","FW","26",1991,24.5,714,668,46,0,7,178,10,25,0,0,0,0,510,131,73,83,588,16,1,5,548,5,7,34,20,"https://fbref.com/en/players/9dbb75ca/Alexandre-Lacazette",NA
"100",2018,"Arsenal","Premier League","Ainsley Maitland-Niles","ENG","DF,MF","19",1997,10.2,632,546,86,4,0,57,15,16,0,0,0,0,426,129,77,106,429,11,82,0,536,2,7,25,13,"https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles",NA
