"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Press_Pass","Sw_Pass","Crs_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Ground_Height","Low_Height","High_Height","Left_Body","Right_Body","Head_Body","TI_Body","Other_Body","Cmp_Outcomes","Off_Outcomes","Out_Outcomes","Int_Outcomes","Blocks_Outcomes","Url","TI_Pass"
"77",2018,"Hellas Verona","Serie A","team",32,38,15515,13725,1790,411,8,2432,581,405,139,23,33,16,8526,2826,4163,4572,8689,781,748,325,11493,69,405,244,457,"https://fbref.com/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats",NA
"78",2018,"Hellas Verona","Serie A","opponent",32,38,21729,19861,1868,493,31,2983,630,624,236,50,47,30,14451,2753,4525,6364,12907,959,840,274,17670,61,358,322,433,"https://fbref.com/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats",NA
"79",2018,"Hertha BSC","Bundesliga","team",25,34,15389,13773,1616,483,18,2387,407,339,126,14,51,18,9026,2423,3940,4121,9051,893,672,198,11673,45,315,240,408,"https://fbref.com/en/squads/2818f8bc/2017-2018/Hertha-BSC-Stats",NA
"80",2018,"Hertha BSC","Bundesliga","opponent",25,34,18202,16578,1624,468,28,2912,421,418,174,37,54,18,11584,2682,3936,4805,10989,973,731,246,14424,65,318,281,444,"https://fbref.com/en/squads/2818f8bc/2017-2018/Hertha-BSC-Stats",NA
"81",2018,"Hoffenheim","Bundesliga","team",26,34,17276,15705,1571,466,34,2672,423,390,154,41,45,13,11150,2621,3505,4394,10913,723,645,291,13769,65,307,284,398,"https://fbref.com/en/squads/033ea6b8/2017-2018/Hoffenheim-Stats",NA
"82",2018,"Hoffenheim","Bundesliga","opponent",26,34,16557,14844,1713,518,28,2815,513,412,163,52,48,8,10447,2677,3433,4425,10030,807,690,256,13045,75,289,255,421,"https://fbref.com/en/squads/033ea6b8/2017-2018/Hoffenheim-Stats",NA
"83",2018,"Huddersfield","Premier League","team",25,38,16535,14569,1966,476,16,2923,458,477,165,88,37,14,9506,2517,4512,3685,10126,882,922,190,12081,53,435,513,461,"https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats",NA
"84",2018,"Huddersfield","Premier League","opponent",25,38,20655,18662,1993,441,42,3180,521,378,210,88,76,25,13197,3119,4339,5665,12140,904,1014,267,16173,110,383,513,506,"https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats",NA
"85",2018,"Inter","Serie A","team",22,38,22639,20919,1720,387,21,3462,636,691,275,59,55,37,15709,3085,3845,4231,16232,782,726,364,18750,83,334,332,489,"https://fbref.com/en/squads/d609edc0/2017-2018/Internazionale-Stats",NA
"86",2018,"Inter","Serie A","opponent",22,38,17300,15585,1715,463,21,3006,613,469,183,42,47,2,10554,2512,4234,5054,10197,747,666,282,13632,72,344,252,410,"https://fbref.com/en/squads/d609edc0/2017-2018/Internazionale-Stats",NA
"87",2018,"Juventus","Serie A","team",24,38,23398,21895,1503,423,25,3135,917,484,175,21,46,12,16564,3083,3751,8817,12579,788,661,256,20058,73,297,264,428,"https://fbref.com/en/squads/e0652b02/2017-2018/Juventus-Stats",NA
"88",2018,"Juventus","Serie A","opponent",24,38,17564,16039,1525,403,9,2746,483,361,128,24,24,12,11875,2176,3513,5256,10491,655,644,236,14034,38,345,273,406,"https://fbref.com/en/squads/e0652b02/2017-2018/Juventus-Stats",NA
"89",2018,"Köln","Bundesliga","team",31,34,15704,14019,1685,484,23,2544,459,381,171,33,58,15,8918,2611,4175,5022,8363,983,656,144,11700,69,327,262,446,"https://fbref.com/en/squads/bc357bf7/2017-2018/Koln-Stats",NA
"90",2018,"Köln","Bundesliga","opponent",31,34,17446,15780,1666,488,33,2624,494,468,181,26,59,22,11019,2614,3813,4510,10681,886,677,242,13699,43,314,257,419,"https://fbref.com/en/squads/bc357bf7/2017-2018/Koln-Stats",NA
"91",2018,"La Coruña","La Liga","team",32,38,16654,15072,1582,426,22,2697,540,571,181,21,18,6,10568,2048,4038,5593,8769,1051,664,189,12495,85,413,384,416,"https://fbref.com/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats",NA
