"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
"90",2010,"Leverkusen","Bundesliga","opponent",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/c7a9f859/2009-2010/Bayer-Leverkusen-Stats"
"91",2010,"Lille","Ligue 1","team",23,NA,69,4,NA,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cb188c0c/2009-2010/Lille-Stats"
"92",2010,"Lille","Ligue 1","opponent",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cb188c0c/2009-2010/Lille-Stats"
"93",2010,"Liverpool","Premier League","team",30,NA,55,5,NA,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/822bd0ba/2009-2010/Liverpool-Stats"
"94",2010,"Liverpool","Premier League","opponent",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/822bd0ba/2009-2010/Liverpool-Stats"
"95",2010,"Livorno","Serie A","team",36,NA,86,8,NA,649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/939201df/2009-2010/Livorno-Stats"
"96",2010,"Livorno","Serie A","opponent",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/939201df/2009-2010/Livorno-Stats"
"97",2010,"Lorient","Ligue 1","team",24,NA,56,4,NA,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d2c87802/2009-2010/Lorient-Stats"
"98",2010,"Lorient","Ligue 1","opponent",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d2c87802/2009-2010/Lorient-Stats"
"99",2010,"Lyon","Ligue 1","team",28,NA,64,3,NA,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d53c0b06/2009-2010/Lyon-Stats"
"100",2010,"Lyon","Ligue 1","opponent",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d53c0b06/2009-2010/Lyon-Stats"
"101",2010,"M'Gladbach","Bundesliga","team",24,NA,48,1,NA,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/32f3ee20/2009-2010/Monchengladbach-Stats"
"102",2010,"M'Gladbach","Bundesliga","opponent",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/32f3ee20/2009-2010/Monchengladbach-Stats"
"103",2010,"Mainz 05","Bundesliga","team",29,NA,58,4,NA,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/a224b06a/2009-2010/Mainz-05-Stats"
"104",2010,"Mainz 05","Bundesliga","opponent",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/a224b06a/2009-2010/Mainz-05-Stats"
"105",2010,"Málaga","La Liga","team",30,NA,131,10,NA,684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/1c896955/2009-2010/Malaga-Stats"
"106",2010,"Málaga","La Liga","opponent",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/1c896955/2009-2010/Malaga-Stats"
"107",2010,"Mallorca","La Liga","team",24,NA,96,4,NA,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2aa12281/2009-2010/Mallorca-Stats"
"108",2010,"Mallorca","La Liga","opponent",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2aa12281/2009-2010/Mallorca-Stats"
"109",2010,"Manchester City","Premier League","team",31,NA,49,2,NA,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/b8fd03ef/2009-2010/Manchester-City-Stats"
"110",2010,"Manchester City","Premier League","opponent",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/b8fd03ef/2009-2010/Manchester-City-Stats"
"111",2010,"Manchester Utd","Premier League","team",30,NA,48,4,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/19538871/2009-2010/Manchester-United-Stats"
"112",2010,"Manchester Utd","Premier League","opponent",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/19538871/2009-2010/Manchester-United-Stats"
"113",2010,"Marseille","Ligue 1","team",23,NA,63,2,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/5725cc7b/2009-2010/Marseille-Stats"
"114",2010,"Marseille","Ligue 1","opponent",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/5725cc7b/2009-2010/Marseille-Stats"
"115",2010,"Milan","Serie A","team",28,NA,66,8,NA,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/dc56fe14/2009-2010/Milan-Stats"
"116",2010,"Milan","Serie A","opponent",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/dc56fe14/2009-2010/Milan-Stats"
"117",2010,"Monaco","Ligue 1","team",28,NA,89,4,NA,677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/fd6114db/2009-2010/Monaco-Stats"
"118",2010,"Monaco","Ligue 1","opponent",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/fd6114db/2009-2010/Monaco-Stats"
"119",2010,"Montpellier","Ligue 1","team",23,NA,81,6,NA,726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/281b0e73/2009-2010/Montpellier-Stats"
