"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","Url"
"77",2010,"Juventus","Serie A","team",30,28.6,38,NA,NA,100,NA,418,NA,NA,110,0,NA,1.45,55,56,-1,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/e0652b02/2009-2010/Juventus-Stats"
"78",2010,"Juventus","Serie A","opponent",30,27.5,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.45,56,55,1,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/e0652b02/2009-2010/Juventus-Stats"
"79",2010,"Köln","Bundesliga","team",26,27.6,34,NA,NA,100,NA,374,NA,NA,85,0,NA,1.12,33,42,-9,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/bc357bf7/2009-2010/Koln-Stats"
"80",2010,"Köln","Bundesliga","opponent",26,26.1,34,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.12,42,33,9,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/bc357bf7/2009-2010/Koln-Stats"
"81",2010,"La Coruña","La Liga","team",28,27.5,38,NA,NA,100,NA,418,NA,NA,109,0,NA,1.24,35,49,-14,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2a60ed82/2009-2010/Deportivo-La-Coruna-Stats"
"82",2010,"La Coruña","La Liga","opponent",28,26.5,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.24,49,35,14,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/2a60ed82/2009-2010/Deportivo-La-Coruna-Stats"
"83",2010,"Lazio","Serie A","team",32,27.8,38,NA,NA,100,NA,418,NA,NA,105,0,NA,1.21,39,43,-4,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7213da33/2009-2010/Lazio-Stats"
"84",2010,"Lazio","Serie A","opponent",32,27.6,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.21,43,39,4,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/7213da33/2009-2010/Lazio-Stats"
"85",2010,"Le Mans","Ligue 1","team",33,24.4,38,NA,NA,100,NA,418,NA,NA,103,0,NA,0.84,36,59,-23,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cd5d7aa6/2009-2010/Le-Mans-Stats"
"86",2010,"Le Mans","Ligue 1","opponent",33,26.2,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,0.84,59,36,23,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cd5d7aa6/2009-2010/Le-Mans-Stats"
"87",2010,"Lens","Ligue 1","team",23,27.1,38,NA,NA,100,NA,418,NA,NA,106,0,NA,1.26,40,44,-4,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/fd4e0f7d/2009-2010/Lens-Stats"
"88",2010,"Lens","Ligue 1","opponent",23,26.1,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.26,44,40,4,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/fd4e0f7d/2009-2010/Lens-Stats"
"89",2010,"Leverkusen","Bundesliga","team",24,24.6,34,NA,NA,100,NA,374,NA,NA,90,0,NA,1.74,65,38,27,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/c7a9f859/2009-2010/Bayer-Leverkusen-Stats"
"90",2010,"Leverkusen","Bundesliga","opponent",24,26.2,34,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.74,38,65,-27,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/c7a9f859/2009-2010/Bayer-Leverkusen-Stats"
"91",2010,"Lille","Ligue 1","team",23,25.1,38,NA,NA,100,NA,418,NA,NA,113,0,NA,1.84,72,40,32,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cb188c0c/2009-2010/Lille-Stats"
"92",2010,"Lille","Ligue 1","opponent",23,26.1,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.84,40,72,-32,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/cb188c0c/2009-2010/Lille-Stats"
"93",2010,"Liverpool","Premier League","team",30,26.3,38,NA,NA,100,NA,418,NA,NA,105,0,NA,1.66,61,35,26,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/822bd0ba/2009-2010/Liverpool-Stats"
"94",2010,"Liverpool","Premier League","opponent",30,27.3,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.66,35,61,-26,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/822bd0ba/2009-2010/Liverpool-Stats"
"95",2010,"Livorno","Serie A","team",36,27.6,38,NA,NA,100,NA,418,NA,NA,111,0,NA,0.76,27,61,-34,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/939201df/2009-2010/Livorno-Stats"
"96",2010,"Livorno","Serie A","opponent",36,27.5,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,0.76,61,27,34,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/939201df/2009-2010/Livorno-Stats"
"97",2010,"Lorient","Ligue 1","team",24,26.6,38,NA,NA,100,NA,418,NA,NA,102,0,NA,1.53,54,42,12,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d2c87802/2009-2010/Lorient-Stats"
"98",2010,"Lorient","Ligue 1","opponent",24,26.1,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.53,42,54,-12,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d2c87802/2009-2010/Lorient-Stats"
"99",2010,"Lyon","Ligue 1","team",28,25.7,38,NA,NA,100,NA,418,NA,NA,113,0,NA,1.89,64,38,26,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d53c0b06/2009-2010/Lyon-Stats"
"100",2010,"Lyon","Ligue 1","opponent",28,26,38,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,1.89,38,64,-26,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/d53c0b06/2009-2010/Lyon-Stats"
"101",2010,"M'Gladbach","Bundesliga","team",24,25.7,34,NA,NA,100,NA,374,NA,NA,93,0,NA,1.15,43,60,-17,NA,NA,NA,NA,NA,"https://fbref.com/en/squads/32f3ee20/2009-2010/Monchengladbach-Stats"
